"yr","mon","Tavg"
2000,5,12.8503225806452
2000,6,17.1443333333333
2000,7,17.3593548387097
2000,8,17.6946774193548
2000,9,15.677
2000,10,10.9182258064516
2000,11,6.49216666666667
2000,12,6.7891935483871
2001,1,5.76467741935484
2001,2,6.63464285714286
2001,3,8.29887096774194
2001,4,9.27216666666667
2001,5,12.8725806451613
2001,6,16.7316666666667
2001,7,16.9395161290323
2001,8,18.0270967741935
2001,9,15.8981666666667
2001,10,12.5398387096774
2001,11,6.081
2001,12,2.64354838709677
2002,1,6.03241935483871
2002,2,6.7125
2002,3,8.84290322580645
2002,4,9.67783333333333
2002,5,10.5785483870968
2002,6,15.4418333333333
2002,7,17.0998387096774
2002,8,17.3172580645161
2002,9,15.1585
2002,10,11.6745161290323
2002,11,7.815
2002,12,7.34225806451613
2003,1,4.79387096774194
2003,2,5.09607142857143
2003,3,9.44354838709677
2003,4,9.67533333333333
2003,5,13.3612903225806
2003,6,17.4325
2003,7,17.2175806451613
2003,8,21.4508064516129
2003,9,18.0985
2003,10,10.9183870967742
2003,11,9.031
2003,12,5.79967741935484
2004,1,6.3241935483871
2004,2,6.0548275862069
2004,3,6.88612903225806
2004,4,9.284
2004,5,12.4403225806452
2004,6,19.2001666666667
2004,7,18.2093548387097
2004,8,16.9887096774194
2004,9,16.5128333333333
2004,10,11.2614516129032
2004,11,6.32416666666667
2004,12,4.26645161290323
2005,1,3.91596774193548
2005,2,3.47321428571429
2005,3,8.28983870967742
2005,4,9.949
2005,5,12.7072580645161
2005,6,18.4031666666667
2005,7,18.7825806451613
2005,8,19.6296774193548
2005,9,15.9198333333333
2005,10,12.9574193548387
2005,11,7.189
2005,12,5.26161290322581
2006,1,4.80645161290323
2006,2,5.77446428571429
2006,3,8.98790322580645
2006,4,11.9585
2006,5,14.6383870967742
2006,6,18.2513333333333
2006,7,20.6912903225806
2006,8,19.1001612903226
2006,9,17.6028333333333
2006,10,13.9896774193548
2006,11,10.618
2006,12,6.2858064516129
2007,1,6.415
2007,2,7.21
2007,3,8.63064516129032
2007,4,12.067
2007,5,13.1996774193548
2007,6,15.1241666666667
2007,7,17.3659677419355
2007,8,18.1061290322581
2007,9,17.5035
2007,10,13.6283870967742
2007,11,8.46133333333333
2007,12,5.82064516129032
2008,1,7.21193548387097
2008,2,9.49896551724138
2008,3,8.26258064516129
2008,4,10.9381666666667
2008,5,12.3708064516129
2008,6,16.8408333333333
2008,7,17.8195161290323
2008,8,18.111935483871
2008,9,15.6816666666667
2008,10,12.0966129032258
2008,11,7.00083333333333
2008,12,6.09741935483871
2009,1,5.22741935483871
2009,2,7.17482142857143
2009,3,10.638064516129
2009,4,9.06716666666667
2009,5,14.1885483870968
2009,6,17.546
