"Day","Month","Year","MinTemp","MaxTemp"
14,4,1982,1.6,15.27
15,4,1982,0.88,13.78
16,4,1982,-0.1,15.74
17,4,1982,2.01,12.34
18,4,1982,3.51,13.75
19,4,1982,4.61,17.55
20,4,1982,3.77,18.05
21,4,1982,4.83,18.57
22,4,1982,4.3,21.49
23,4,1982,6,22.62
24,4,1982,5.4,20.62
25,4,1982,5.01,16.87
26,4,1982,3.37,13.67
27,4,1982,4.77,17.4
28,4,1982,3.99,19.28
29,4,1982,3.75,19.32
30,4,1982,4.56,18.35
1,5,1982,3.15,19.89
2,5,1982,3.91,19.05
3,5,1982,4.95,16.11
4,5,1982,4.28,11.51
5,5,1982,-3.12,10.2
6,5,1982,-2.8,11.09
7,5,1982,-1.2,13.75
8,5,1982,0.8,14.3
9,5,1982,1.68,16.1
10,5,1982,0.03,15.24
11,5,1982,5.2,11.2
12,5,1982,8.33,11.63
13,5,1982,9.78,15.73
14,5,1982,10.13,18.82
15,5,1982,8.36,17.18
16,5,1982,7.92,17.32
17,5,1982,7.88,15.62
18,5,1982,10.16,17.63
19,5,1982,7.39,19.43
20,5,1982,9.12,21.07
21,5,1982,10.52,21.54
22,5,1982,9.98,18.87
23,5,1982,6.5,16.26
24,5,1982,7.61,22.39
25,5,1982,10.08,25.45
26,5,1982,10.4,16.34
27,5,1982,6.81,17.24
28,5,1982,7.92,19.03
29,5,1982,9.33,16.5
30,5,1982,9.25,16.73
31,5,1982,9.73,18.46
1,6,1982,9.47,19.86
2,6,1982,9.77,15.53
3,6,1982,8.36,14.8
4,6,1982,6.48,18.16
5,6,1982,7.73,17.04
6,6,1982,6.92,17.3
7,6,1982,6.82,23.51
8,6,1982,11.04,21.51
9,6,1982,11.13,17.29
10,6,1982,9.9,17.53
11,6,1982,9.08,16.43
12,6,1982,9.52,15.45
13,6,1982,11.54,15.3
14,6,1982,11.64,18.03
15,6,1982,11.41,24.29
16,6,1982,12.76,29.25
17,6,1982,11.24,16.05
18,6,1982,7.14,17.87
19,6,1982,6.78,21.67
20,6,1982,9.53,17.11
21,6,1982,13.33,18.83
22,6,1982,11.65,17.22
23,6,1982,8.92,16.82
24,6,1982,6.82,17.91
25,6,1982,11.44,15.59
26,6,1982,10.05,15.16
27,6,1982,7.71,18.79
28,6,1982,8.76,22.24
29,6,1982,10.33,23.28
30,6,1982,10.64,28.81
1,7,1982,14.66,27.1
2,7,1982,11.23,20.05
3,7,1982,9.7,19.73
4,7,1982,9.4,28.61
5,7,1982,16.11,24.52
6,7,1982,15.5,28.68
7,7,1982,14.51,26.43
8,7,1982,14.94,21.47
9,7,1982,12.52,22.4
10,7,1982,12.02,24.54
11,7,1982,10.8,20.39
12,7,1982,10.5,17.36
13,7,1982,10.7,13.89
14,7,1982,9.59,17.34
15,7,1982,8.17,23.06
16,7,1982,10.46,21.83
17,7,1982,11.5,23.51
18,7,1982,11.86,21.81
19,7,1982,12.03,18.57
20,7,1982,9.94,17.26
21,7,1982,11.04,18.9
22,7,1982,8.94,21.54
23,7,1982,9,22.13
24,7,1982,9.53,25.12
25,7,1982,10.61,26.13
26,7,1982,12.52,23.96
27,7,1982,11.76,20.22
28,7,1982,10.81,22.64
29,7,1982,11.66,20.35
30,7,1982,9.29,19.97
31,7,1982,8.24,21.9
1,8,1982,11.11,19.47
2,8,1982,10.11,22.25
3,8,1982,10,25.09
4,8,1982,11.56,23.15
5,8,1982,11.77,22.65
6,8,1982,14.45,22.28
7,8,1982,11.39,24.69
8,8,1982,11.39,27.08
9,8,1982,13.23,28.55
10,8,1982,14.06,30.67
11,8,1982,15.04,30.52
12,8,1982,14.82,27.53
13,8,1982,15.61,27.72
14,8,1982,12.06,27.36
15,8,1982,12.58,23.01
16,8,1982,11.43,22.6
17,8,1982,10.46,24.44
18,8,1982,12,23.88
19,8,1982,12.14,23.48
20,8,1982,13.45,23.27
21,8,1982,10.91,26.27
22,8,1982,12.11,24.57
23,8,1982,12.91,23.72
24,8,1982,10.95,26.63
25,8,1982,11.69,27.18
26,8,1982,11.88,21.02
27,8,1982,8.1,20.66
28,8,1982,10.29,18.84
29,8,1982,10.16,23.8
30,8,1982,12.5,24.22
31,8,1982,11.22,22.44
1,9,1982,9.59,25.7
2,9,1982,12.12,30.55
3,9,1982,12.41,30.28
4,9,1982,14.27,28.24
5,9,1982,11.88,20.6
6,9,1982,9.87,23.71
7,9,1982,8.01,22.2
8,9,1982,10.83,26.76
9,9,1982,11.85,22.63
10,9,1982,11.28,21.56
11,9,1982,12.42,25.81
12,9,1982,12.78,28.43
13,9,1982,13.24,28.15
14,9,1982,13.44,27.67
15,9,1982,13.44,27.01
16,9,1982,13.14,24.68
17,9,1982,14.55,22.88
18,9,1982,14.94,22.47
19,9,1982,14.4,19.1
20,9,1982,12.88,16.87
21,9,1982,12.09,15.43
22,9,1982,10.89,17.97
23,9,1982,8.01,14.59
24,9,1982,9.45,11.72
25,9,1982,9.06,13.36
26,9,1982,6.21,15.08
27,9,1982,10.34,13.66
28,9,1982,10.82,16.77
29,9,1982,10.42,14.74
30,9,1982,7.11,16.2
1,10,1982,6.37,17.13
2,10,1982,8.81,14.57
3,10,1982,6.15,15.69
4,10,1982,8.73,14.06
5,10,1982,9.4,12.6
6,10,1982,4.76,11.06
7,10,1982,5.99,12.11
8,10,1982,6.26,11.48
9,10,1982,8.59,11.56
10,10,1982,6.18,14.93
11,10,1982,5.83,16.17
12,10,1982,9.58,14.91
13,10,1982,10.87,15.38
14,10,1982,7.56,11.82
15,10,1982,5.47,12.63
16,10,1982,7.89,13.21
17,10,1982,8.51,12.77
18,10,1982,5.57,11.97
19,10,1982,4.63,13.63
20,10,1982,6.22,17.43
21,10,1982,7.71,16.92
22,10,1982,7.23,13.33
23,10,1982,2.85,10.23
24,10,1982,4.11,8.76
25,10,1982,6.14,12.43
26,10,1982,6.69,13.95
27,10,1982,5.85,15.49
28,10,1982,6.64,17.23
29,10,1982,7.1,18.05
30,10,1982,7.96,17.4
31,10,1982,6.72,18.68
1,11,1982,7.72,20.8
2,11,1982,9.61,19.86
3,11,1982,9.28,19.16
4,11,1982,9.53,16.74
5,11,1982,8.01,13.76
6,11,1982,5.82,10.04
7,11,1982,3.88,8.05
8,11,1982,6.01,9.5
9,11,1982,6.01,9.45
10,11,1982,6.86,11.18
11,11,1982,7.04,12.67
12,11,1982,7.69,12.26
13,11,1982,5.91,10.81
14,11,1982,2.22,8.5
15,11,1982,1.65,8.03
16,11,1982,-0.39,7.37
17,11,1982,1.64,11.04
18,11,1982,-0.02,8.09
19,11,1982,2.18,10.8
20,11,1982,3.16,9.09
21,11,1982,5.64,9.66
22,11,1982,7.88,11.95
23,11,1982,6.44,11.75
24,11,1982,1.33,9.04
25,11,1982,2.47,5.75
26,11,1982,-0.73,4.92
27,11,1982,-0.04,9.11
28,11,1982,1.57,8.4
29,11,1982,-0.36,7.04
30,11,1982,-4.11,5.12
1,12,1982,-3.87,4.16
2,12,1982,-0.4,4.39
3,12,1982,-3.28,5.65
4,12,1982,-0.78,7.08
5,12,1982,5,9.55
6,12,1982,7.58,11.39
7,12,1982,7.39,11.02
8,12,1982,7.12,10.11
9,12,1982,7.99,10.63
10,12,1982,7.98,9.5
11,12,1982,5.12,9.36
12,12,1982,6.3,10.92
13,12,1982,3.69,7.17
14,12,1982,1.7,7.12
15,12,1982,2.41,7.27
16,12,1982,4.95,8.39
17,12,1982,4.75,7.05
18,12,1982,1.05,6.41
19,12,1982,1.95,7.2
20,12,1982,3.63,8.78
21,12,1982,-0.18,3.19
22,12,1982,-1.08,4.23
23,12,1982,-1.76,5.8
24,12,1982,0.94,6.9
25,12,1982,3.84,10.3
26,12,1982,1.38,9.87
27,12,1982,0.22,8.02
28,12,1982,-0.53,7.15
29,12,1982,-0.43,7.13
30,12,1982,-1.49,4.12
31,12,1982,-2.56,3.52
1,1,1983,-1.97,1.16
2,1,1983,1.51,4.81
3,1,1983,1.89,4.28
4,1,1983,0.7,4.67
5,1,1983,-1.05,4.69
6,1,1983,1.19,7.58
7,1,1983,2.21,6.89
8,1,1983,-1.67,6.91
9,1,1983,-2.61,6.8
10,1,1983,-2.99,8.64
11,1,1983,-0.93,7.77
12,1,1983,0.33,8.28
13,1,1983,1.68,7.83
14,1,1983,-0.59,6.08
15,1,1983,-0.53,8.35
16,1,1983,0.08,9.7
17,1,1983,-0.04,11
18,1,1983,1.9,10.15
19,1,1983,1.35,9.38
20,1,1983,-2.43,10.62
21,1,1983,-3.28,8.44
22,1,1983,-1.84,11.16
23,1,1983,1.61,12.43
24,1,1983,7.33,14.67
25,1,1983,8.65,16.84
26,1,1983,5.79,15.34
27,1,1983,4.29,14.1
28,1,1983,2.36,12.07
29,1,1983,2.68,10.11
30,1,1983,2.52,9.91
31,1,1983,-1.25,8.63
1,2,1983,-0.29,7.79
2,2,1983,0.17,9.39
3,2,1983,-2.52,10.32
4,2,1983,0.03,11.28
5,2,1983,1.9,8.57
6,2,1983,1.51,5.12
7,2,1983,-1.71,2.69
8,2,1983,-4.74,2.47
9,2,1983,-6.72,3.33
